Date,Price,Open,High,Low,Vol.,Change %
05/01/2015,0.84,0.84,0.84,0.83,842910.0,0.037
05/01/2015,130.4,131.98,131.98,125.76,1860000.0,-0.0139
05/01/2015,18.0,18.41,18.5,17.76,33820000.0,-0.0223
05/01/2015,165.3,174.0,165.3,165.3,481240.0,-0.0169
05/01/2015,190.0,190.0,190.05,190.0,874400.0,-0.05
05/01/2015,33943.29,34657.15,34657.26,33805.43,,-0.0206
05/01/2015,995.6,1048.0,996.08,995.6,292200.0,-0.016
05/01/2015,36.48,36.48,36.48,36.48,155730.0,0.019
05/01/2015,57.63,57.63,57.63,57.63,173650.0,0.0
05/01/2015,4.32,4.09,4.35,4.09,17600000.0,0.0046999999999999
06/01/2015,54.75,54.75,54.75,54.75,200760.0,-0.05
06/01/2015,32522.31,33943.29,33994.43,32507.38,,-0.0419
06/01/2015,157.04,157.04,157.04,157.04,201120.0,-0.05
06/01/2015,0.8,0.85,0.85,0.8,1910000.0,-0.0475999999999999
06/01/2015,17.1,18.0,18.0,17.1,19180000.0,-0.05
06/01/2015,3.98,4.12,4.12,3.92,24850000.0,-0.0787
06/01/2015,35.03,35.11,35.11,35.0,1190000.0,-0.0397
06/01/2015,180.5,180.5,180.5,180.5,658870.0,-0.05
06/01/2015,945.82,945.82,945.82,945.82,60970.0,-0.05
06/01/2015,117.74,123.93,123.93,117.74,2210000.0,-0.0971
07/01/2015,171.48,171.48,171.48,171.48,138050.0,-0.05
07/01/2015,111.86,116.0,116.0,111.86,2810000.0,-0.0499
07/01/2015,3.79,3.79,3.84,3.79,8260000.0,-0.0476999999999999
07/01/2015,15.44,16.25,16.3,15.44,36610000.0,-0.0971
07/01/2015,31167.54,32522.31,32522.31,31148.78,,-0.0417
07/01/2015,52.02,52.1,52.1,52.02,1100.0,-0.0499
07/01/2015,33.8,33.8,33.8,33.8,386360.0,-0.0351
07/01/2015,0.78,0.76,0.78,0.76,1820000.0,-0.025
07/01/2015,141.74,149.19,141.74,141.74,467480.0,-0.0974
07/01/2015,898.53,898.53,898.53,898.53,,-0.05
08/01/2015,54.75,52.02,0.0,0.0,41780.0,0.0525
08/01/2015,3.75,3.78,3.84,3.74,12250000.0,-0.0106
08/01/2015,30420.54,31167.54,31167.54,30418.91,,-0.024
08/01/2015,167.0,171.4,171.4,167.0,3900000.0,-0.0260999999999999
08/01/2015,112.56,107.2,112.56,112.08,1430000.0,0.0063
08/01/2015,898.53,898.53,898.53,898.53,37100.0,0.0
08/01/2015,0.75,0.76,0.76,0.75,584040.0,-0.0385
08/01/2015,15.0,15.3,16.06,14.54,29410000.0,-0.0285
08/01/2015,33.0,33.81,35.49,32.12,184540.0,-0.0237
08/01/2015,128.52,134.66,129.98,127.93,901920.0,-0.0933
09/01/2015,33.0,33.99,34.0,32.28,94020.0,0.0
09/01/2015,158.65,161.55,161.55,158.65,332200.0,-0.05
09/01/2015,16.43,15.65,16.43,15.22,32380000.000000004,0.0953
09/01/2015,130.21,124.01,130.21,130.0,678570.0,0.0131
09/01/2015,3.79,3.71,3.8,3.71,17470000.0,0.0107
09/01/2015,855.0,860.85,860.85,855.0,160420.0,-0.0484
09/01/2015,52.02,52.02,52.02,52.02,799750.0,-0.0499
09/01/2015,0.78,0.76,0.78,0.75,3230000.0,0.04
09/01/2015,117.6,117.99,117.98,116.12,1120000.0,0.0448
09/01/2015,30143.02,30420.54,30704.34,30080.84,,-0.0091
12/01/2015,115.52,121.6,116.88,115.52,2350000.0,-0.0177
12/01/2015,166.4,154.98,166.4,150.72,2100000.0,0.0487999999999999
12/01/2015,30234.72,30160.3,30234.72,29353.54,,0.003
12/01/2015,33.8,33.0,0.0,0.0,137860.0,0.0242
12/01/2015,130.0,126.85,133.19,128.61,827860.0,-0.0016
12/01/2015,16.0,16.08,16.08,15.65,96290000.0,-0.0262
12/01/2015,46.95,49.42,49.43,46.95,1410000.0,-0.0975
12/01/2015,0.76,0.8,0.8,0.76,7110000.0,-0.0256
12/01/2015,812.25,812.25,812.25,812.25,270250.0,-0.05
12/01/2015,3.79,3.79,3.79,3.72,8990000.0,0.0
13/01/2015,32.11,32.65,32.65,32.11,735380.0,-0.05
13/01/2015,46.95,49.29,0.0,0.0,44440.0,0.0
13/01/2015,3.61,3.85,3.85,3.61,12860000.0,-0.0475
13/01/2015,129.98,130.01,130.0,128.01,710820.0,-0.0002
13/01/2015,29889.86,30218.82,30221.78,29445.0,,-0.0113999999999999
13/01/2015,111.2,112.6,113.6,110.41,3760000.0,-0.0374
13/01/2015,166.4,159.16,166.4,158.08,1220000.0,0.0
13/01/2015,16.42,16.1,16.76,15.82,8450000.0,0.0263
13/01/2015,0.77,0.76,0.78,0.73,18430000.0,0.0132
13/01/2015,799.0,818.0,818.0,799.0,320820.0,-0.0163
14/01/2015,151.1,158.08,157.98,151.0,1370000.0,-0.0919
14/01/2015,3.44,3.62,3.7,3.44,26260000.0,-0.0471
14/01/2015,44.49,46.83,44.49,44.49,385180.0,-0.0524
14/01/2015,110.4,115.19,112.4,109.44,2690000.0,-0.0072
14/01/2015,32.0,32.0,32.0,32.0,785150.0,-0.0034
14/01/2015,15.6,16.46,16.55,15.6,51380000.0,-0.0499
14/01/2015,128.0,129.41,129.41,124.99,565620.0,-0.0152
14/01/2015,798.5,798.5,798.5,798.5,435800.0,-0.0006
14/01/2015,28740.61,29889.86,29937.53,28699.71,,-0.0384
14/01/2015,0.77,0.77,0.78,0.77,2750000.0,0.0
15/01/2015,32.0,30.41,33.51,30.41,,0.0
15/01/2015,152.68,157.2,156.45,152.68,1130000.0,0.0105
15/01/2015,44.0,42.32,45.88,42.32,,-0.011
15/01/2015,3.6,3.5,3.67,3.46,10600000.0,0.0465
15/01/2015,112.0,111.2,112.0,107.2,1650000.0,0.0144999999999999
15/01/2015,15.7,16.0,16.0,15.6,19610000.0,0.0064
15/01/2015,0.78,0.78,0.78,0.78,2890000.0,0.013
15/01/2015,28811.39,28740.61,29123.27,28726.61,,0.0025
15/01/2015,800.0,800.0,800.0,800.0,129030.0,0.0019
15/01/2015,132.0,133.99,139.99,132.0,576290.0,0.0313
16/01/2015,3.52,3.75,3.75,3.52,16300000.0,-0.0222
16/01/2015,16.48,15.98,16.48,15.8,18080000.0,0.0496999999999999
16/01/2015,815.4,815.31,815.45,815.31,162390.0,0.0192999999999999
16/01/2015,130.0,130.0,130.0,130.0,3060000.0,-0.0152
16/01/2015,32.0,32.0,32.0,32.0,468230.0,0.0
16/01/2015,153.0,158.98,158.98,153.0,547320.0,0.0021
16/01/2015,0.76,0.78,0.78,0.76,874130.0,-0.0256
16/01/2015,29032.29,28811.39,29364.93,28811.39,,0.0077
16/01/2015,43.5,42.33,45.45,42.33,36050.0,-0.0113999999999999
16/01/2015,111.2,112.0,114.41,110.8,3360000.0,-0.0070999999999999
19/01/2015,29773.4,29034.89,29847.55,29034.89,,0.0255
19/01/2015,126.0,125.1,128.0,126.0,237800.0,-0.0308
19/01/2015,156.0,157.75,157.75,152.81,1260000.0,0.0196
19/01/2015,0.78,0.77,0.78,0.77,2430000.0,0.0263
19/01/2015,17.3,17.3,17.3,17.29,15820000.0,0.0498
19/01/2015,116.8,116.71,116.8,113.24,4450000.0,0.0504
19/01/2015,3.66,3.56,3.69,3.56,18720000.0,0.0398
19/01/2015,32.8,32.8,32.8,32.8,237420.0,0.025
19/01/2015,43.01,44.4,46.59,42.27,110740.0,-0.0113
19/01/2015,855.0,856.17,856.17,855.0,113030.0,0.0486
20/01/2015,32.99,32.0,33.0,32.0,127530.0,0.0058
20/01/2015,0.77,0.78,0.78,0.76,3720000.0,-0.0128
20/01/2015,131.5,126.5,131.5,126.5,818790.0,0.0437
20/01/2015,3.78,3.69,3.87,3.67,21230000.0,0.0327999999999999
20/01/2015,830.5,830.1,830.5,830.1,136820.0,-0.0287
20/01/2015,29819.39,29773.4,30139.82,29743.63,,0.0015
20/01/2015,155.0,158.0,158.0,154.0,989990.0,-0.0064
20/01/2015,116.4,118.31,117.68,113.76,3150000.0,-0.0034
20/01/2015,44.0,44.0,46.19,43.04,28810.0,0.023
20/01/2015,17.5,18.16,18.16,17.36,35310000.0,0.0116
21/01/2015,42.65,46.12,46.12,42.51,48120.0,-0.0306999999999999
21/01/2015,155.02,158.5,155.02,152.01,833450.0,0.0001
21/01/2015,830.15,830.05,830.15,830.05,91820.0,-0.0004
21/01/2015,29759.04,29819.39,29905.8,29743.12,,-0.002
21/01/2015,116.0,117.0,117.08,116.0,1690000.0,-0.0034
21/01/2015,17.1,18.0,17.56,17.1,16739999.999999998,-0.0229
21/01/2015,32.8,32.8,32.8,32.8,473870.0,-0.0058
21/01/2015,130.0,134.55,138.45,130.0,3560000.0,-0.0113999999999999
21/01/2015,3.85,3.96,4.0,3.85,18700000.0,0.0185
21/01/2015,0.76,0.79,0.76,0.76,127820.0,-0.013
22/01/2015,127.02,130.0,130.0,127.02,142770.0,-0.0229
22/01/2015,0.75,0.76,0.78,0.75,1770000.0,-0.0132
22/01/2015,33.81,34.4,34.44,33.0,249760.0,0.0308
22/01/2015,116.0,115.36,116.0,114.8,2040000.0,0.0
22/01/2015,29687.93,29759.04,29773.74,29601.78,,-0.0024
22/01/2015,16.82,17.49,17.1,16.73,3820000.0,-0.0163999999999999
22/01/2015,830.0,843.0,843.0,815.05,33360.0,-0.0002
22/01/2015,44.4,42.73,45.97,42.73,53370.0,0.0409999999999999
22/01/2015,155.5,157.99,155.5,154.01,651520.0,0.0031
22/01/2015,3.66,3.89,3.9,3.66,12310000.0,-0.0494
23/01/2015,820.97,830.15,839.99,800.15,22860.0,-0.0109
23/01/2015,129.99,130.0,130.0,129.99,8039999.999999999,0.0233999999999999
23/01/2015,44.89,44.49,44.89,44.89,609130.0,0.011
23/01/2015,115.2,116.8,116.8,115.19,1940000.0,-0.0069
23/01/2015,17.5,17.0,17.54,17.0,4240000.0,0.0404
23/01/2015,156.0,155.02,156.0,155.0,615580.0,0.0032
23/01/2015,34.0,34.0,34.0,34.0,16890000.0,0.0056
23/01/2015,3.56,3.67,3.7,3.55,26690000.0,-0.0273
23/01/2015,0.78,0.75,0.78,0.75,478120.0,0.04
23/01/2015,29812.05,29687.93,29812.05,29687.93,,0.0042
26/01/2015,155.0,152.1,156.0,150.5,1480000.0,-0.0064
26/01/2015,115.19,113.61,115.2,113.61,558400.0,-0.0001
26/01/2015,44.95,44.95,44.95,44.95,,0.0013
26/01/2015,129.99,128.02,0.0,0.0,65870.0,0.0
26/01/2015,828.0,828.0,830.0,801.06,75730.0,0.0086
26/01/2015,17.1,17.3,17.3,17.0,12160000.0,-0.0229
26/01/2015,29779.17,29812.05,29856.82,29572.64,,-0.0011
26/01/2015,3.54,3.55,3.56,3.51,7500000.0,-0.0056
26/01/2015,0.79,0.77,0.8,0.76,4150000.000000001,0.0128
26/01/2015,33.5,33.5,34.5,33.5,113500.0,-0.0147
27/01/2015,33.5,33.11,33.5,31.55,18330000.0,0.0
27/01/2015,29859.06,29779.17,29920.08,29738.46,,0.0027
27/01/2015,3.55,3.56,3.56,3.5,17110000.0,0.0028
27/01/2015,0.8,0.79,0.8,0.79,732920.0,0.0127
27/01/2015,129.0,129.0,129.0,129.0,67430.0,-0.0076
27/01/2015,825.0,825.0,825.0,825.0,542270.0,-0.0036
27/01/2015,17.11,17.1,17.15,17.1,5430000.0,0.0006
27/01/2015,44.69,43.15,45.0,43.15,190560.0,-0.0058
27/01/2015,115.91,116.0,116.0,114.85,3300000.0,0.0063
27/01/2015,156.0,156.7,156.7,155.99,1840000.0,0.0065
28/01/2015,115.2,115.2,115.84,114.4,3440000.0,-0.0060999999999999
28/01/2015,818.0,820.0,820.0,801.05,19550.0,-0.0085
28/01/2015,156.5,157.95,158.0,156.0,2350000.0,0.0032
28/01/2015,34.5,35.0,35.0,34.0,28970000.0,0.0299
28/01/2015,3.53,3.55,3.6,3.51,18760000.0,-0.0056
28/01/2015,17.02,17.11,17.14,17.02,18690000.0,-0.0053
28/01/2015,44.9,45.0,45.0,44.5,116640.0,0.0046999999999999
28/01/2015,131.99,131.99,131.99,131.99,71270.0,0.0232
28/01/2015,0.84,0.8,0.84,0.8,1850000.0,0.05
28/01/2015,29907.66,29859.06,29988.46,29817.11,,0.0016
29/01/2015,29642.38,29907.66,29922.47,29590.92,,-0.0089
29/01/2015,130.05,130.05,130.05,130.05,37400.0,-0.0147
29/01/2015,3.53,3.55,3.55,3.5,14270000.0,0.0
29/01/2015,44.89,46.4,46.4,44.89,6610.0,-0.0002
29/01/2015,0.84,0.83,0.88,0.83,3520000.0,0.0
29/01/2015,16.17,17.0,17.0,16.17,23420000.0,-0.0499
29/01/2015,113.76,113.64,114.48,113.64,2740000.0,-0.0125
29/01/2015,33.25,35.4,35.4,33.2,38390.0,-0.0362
29/01/2015,156.0,156.2,156.53,156.0,878390.0,-0.0032
29/01/2015,810.0,825.0,825.0,810.0,313500.0,-0.0098
30/01/2015,800.25,800.0,800.25,800.0,98770.0,-0.012
30/01/2015,29562.07,29642.38,29660.45,29465.66,,-0.0027
30/01/2015,44.8,44.95,44.95,44.0,12500.0,-0.002
30/01/2015,34.0,32.86,34.75,32.86,189730.0,0.0226
30/01/2015,156.0,156.01,156.01,156.0,363030.0,0.0
30/01/2015,129.99,129.0,130.0,129.0,4310000.0,-0.0005
30/01/2015,3.5,3.55,3.55,3.48,7140000.0,-0.0085
30/01/2015,16.01,16.35,16.17,15.9,59500000.0,-0.0098999999999999
30/01/2015,0.8,0.84,0.84,0.8,1530000.0,-0.0475999999999999
30/01/2015,113.62,114.72,114.72,113.6,10220000.0,-0.0012
02/02/2015,119.2,113.6,119.2,113.6,11860000.0,0.0491
02/02/2015,46.1,47.13,46.1,43.5,17470.0,0.0289999999999999
02/02/2015,16.0,16.0,16.49,16.0,15150000.0,-0.0006
02/02/2015,0.76,0.8,0.8,0.76,373390.0,-0.05
02/02/2015,804.0,800.25,804.0,801.0,169150.0,0.0046999999999999
02/02/2015,129.9,128.0,129.9,125.0,139690.0,-0.0007
02/02/2015,157.7,156.01,157.7,156.0,487330.0,0.0109
